127.0.0.1 - - [24/Sep/2018:02:36:58 -0400] "GET / HTTP/1.1" 200 11488
0:0:0:0:0:0:0:1 - - [24/Sep/2018:02:36:59 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:02:37:08 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:02:37:30 -0400] "POST /servletlabs-3/search HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:02:37:37 -0400] "GET /servletlabs-3/search HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [24/Sep/2018:02:37:41 -0400] "POST /servletlabs-3/search HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:02:38:27 -0400] "POST /servletlabs-3/search HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:02:41:51 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:02:41:53 -0400] "POST /servletlabs-3/search HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:02:42:11 -0400] "POST /servletlabs-3/search HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:02:45:41 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:02:45:47 -0400] "POST /servletlabs-3/search HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:02:45:51 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:02:46:14 -0400] "POST /servletlabs-3/search HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:38:05 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:39:45 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:39:47 -0400] "POST /servletlabs-3/search HTTP/1.1" 500 1756
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:40:40 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:40:44 -0400] "POST /servletlabs-3/search HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:40:48 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:40:51 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:40:54 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:40:54 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:40:54 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:40:54 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:40:58 -0400] "POST /servletlabs-3/search HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:41:11 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:41:16 -0400] "POST /servletlabs-3/search HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:43:27 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:43:37 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:43:40 -0400] "POST /servletlabs-3/search HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:44:20 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:44:21 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:44:24 -0400] "POST /servletlabs-3/search HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:44:50 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:44:53 -0400] "POST /servletlabs-3/search HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Sep/2018:03:45:13 -0400] "GET /servletlabs-3/ HTTP/1.1" 304 -
