127.0.0.1 - - [05/Nov/2018:20:56:31 -0500] "GET / HTTP/1.1" 200 11488
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:56:34 -0500] "GET /jsplabs/first.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:57:52 -0500] "GET /jsplabs/first.jsp HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:57:52 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:20:59:56 -0500] "GET /jsplabs/first.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:00:12 -0500] "GET /jsplabs/first.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:00:58 -0500] "GET /jsplabs/first.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:02:27 -0500] "GET /jsplabs/expressionjsp HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:02:33 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:02:38 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:02:39 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:02:41 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:06:51 -0500] "GET /jsplabs/scriplet.jsp HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:11:59 -0500] "GET /jsplabs/declarationjsp HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:12:03 -0500] "GET /jsplabs/declaration.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:25:25 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:25:28 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:25:30 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:25:31 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:25:33 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:25:35 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:25:36 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:25:57 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:25:58 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:03 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:05 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:06 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:40 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:42 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:43 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:45 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:47 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:47 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:47 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:47 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:48 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:48 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:48 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:48 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:48 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:49 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:49 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:49 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [05/Nov/2018:21:27:49 -0500] "GET /jsplabs/expression.jsp HTTP/1.1" 200 214
